ROUTE_ID,SEASON,DAYS_COUNT,DAY_1_BLOCK_ID,DAY_2_BLOCK_ID,DAY_3_BLOCK_ID,DAY_4_BLOCK_ID,DAY_5_BLOCK_ID,DAY_6_BLOCK_ID,DAY_7_BLOCK_ID,DAY_8_BLOCK_ID,DAY_9_BLOCK_ID,DAY_10_BLOCK_ID,DAY_11_BLOCK_ID,DAY_12_BLOCK_ID
ALM_3D_CITY_MOUNTAINS,all,3,ALM_ARRIVAL_CITY_EASY,ALM_MEDEU_SHYMBULAK,ALM_CITY_HIGHLIGHTS_STD,,,,,,,,,
ALM_4D_CANYON_HIGHLIGHTS,all,4,ALM_ARRIVAL_CITY_EASY,ALM_MEDEU_SHYMBULAK,CHR_CHARYN_FULLDAY,ALM_SHOPPING_DAY,,,,,,,,
ALM_5D_SUMMER_NATURE,summer,5,ALM_ARRIVAL_CITY_EASY,ALM_MEDEU_SHYMBULAK,ISSYK_TURGEN_ASSY,KOL_2D_KOLSAY_KAINDY,CHR_CHARYN_BLACK_MOON,,,,,,,
ALM_6D_ALTYN_EMEL,all,6,ALM_ARRIVAL_CITY_EASY,ALM_MEDEU_SHYMBULAK,CHR_CHARYN_BLACK_MOON,AEM_ALTYN_EMEL_2D,ISSYK_TURGEN_ASSY,ALM_SHOPPING_DAY,,,,,,
ALM_7D_CLASSIC_MIX,summer,7,ALM_ARRIVAL_CITY_EASY,ALM_MEDEU_SHYMBULAK,ISSYK_TURGEN_ASSY,KOL_2D_KOLSAY_KAINDY,CHR_CHARYN_FULLDAY,ILI_TAMGALY_TAS,ALM_SHOPPING_DAY,,,,,
